Subject,Start Date,Start Time,End Date,End Time,All Day,Description,Location,UID
dan reformacije,31/10/2027,,31/10/2027,,TRUE,Dela prost dan,,Private
dan spomina na mrtve,01/11/2027,,01/11/2027,,TRUE,Dela prost dan,,Private
dan Rudolfa Maistra,23/11/2027,,23/11/2027,,TRUE,ne,,Private
božič,25/12/2027,,25/12/2027,,TRUE,Dela prost dan,,Private
dan samostojnosti in enotnosti,26/12/2027,,26/12/2027,,TRUE,Dela prost dan,,Private
novo leto,01/01/2028,,02/01/2028,,TRUE,Dela prost dan,,Private
"Prešernov dan, slovenski kulturni praznik",08/02/2028,,08/02/2028,,TRUE,Dela prost dan,,Private
velika noč,16/04/2028,,16/04/2028,,TRUE,Dela prost dan,,Private
velikonočni ponedeljek,17/04/2028,,17/04/2028,,TRUE,Dela prost dan,,Private
dan boja proti okupatorju,27/04/2028,,27/04/2028,,TRUE,Dela prost dan,,Private
praznik dela,01/05/2028,,02/05/2028,,TRUE,Dela prost dan,,Private
binkoštna nedelja,04/06/2028,,04/06/2028,,TRUE,Dela prost dan,,Private
dan Primoža Trubarja,08/06/2028,,08/06/2028,,TRUE,ne,,Private
dan državnosti,25/06/2028,,25/06/2028,,TRUE,Dela prost dan,,Private
Marijino vnebovzetje,15/08/2028,,15/08/2028,,TRUE,Dela prost dan,,Private
združitev prekmurskih Slovencev z matičnim narodom,17/08/2028,,17/08/2028,,TRUE,ne,,Private
vrnitev Primorske k matični domovini,15/09/2028,,15/09/2028,,TRUE,ne,,Private
dan suverenosti,25/10/2028,,25/10/2028,,TRUE,ne,,Private
dan reformacije,31/10/2028,,31/10/2028,,TRUE,Dela prost dan,,Private
dan spomina na mrtve,01/11/2028,,01/11/2028,,TRUE,Dela prost dan,,Private
dan Rudolfa Maistra,23/11/2028,,23/11/2028,,TRUE,ne,,Private
božič,25/12/2028,,25/12/2028,,TRUE,Dela prost dan,,Private
dan samostojnosti in enotnosti,26/12/2028,,26/12/2028,,TRUE,Dela prost dan,,Private
novo leto,01/01/2029,,02/01/2029,,TRUE,Dela prost dan,,Private
"Prešernov dan, slovenski kulturni praznik",08/02/2029,,08/02/2029,,TRUE,Dela prost dan,,Private
velika noč,01/04/2029,,01/04/2029,,TRUE,Dela prost dan,,Private
velikonočni ponedeljek,02/04/2029,,02/04/2029,,TRUE,Dela prost dan,,Private
dan boja proti okupatorju,27/04/2029,,27/04/2029,,TRUE,Dela prost dan,,Private
praznik dela,01/05/2029,,02/05/2029,,TRUE,Dela prost dan,,Private
binkoštna nedelja,20/05/2029,,20/05/2029,,TRUE,Dela prost dan,,Private
dan Primoža Trubarja,08/06/2029,,08/06/2029,,TRUE,ne,,Private
dan državnosti,25/06/2029,,25/06/2029,,TRUE,Dela prost dan,,Private
Marijino vnebovzetje,15/08/2029,,15/08/2029,,TRUE,Dela prost dan,,Private
združitev prekmurskih Slovencev z matičnim narodom,17/08/2029,,17/08/2029,,TRUE,ne,,Private
vrnitev Primorske k matični domovini,15/09/2029,,15/09/2029,,TRUE,ne,,Private
dan suverenosti,25/10/2029,,25/10/2029,,TRUE,ne,,Private
dan reformacije,31/10/2029,,31/10/2029,,TRUE,Dela prost dan,,Private
dan spomina na mrtve,01/11/2029,,01/11/2029,,TRUE,Dela prost dan,,Private
dan Rudolfa Maistra,23/11/2029,,23/11/2029,,TRUE,ne,,Private
božič,25/12/2029,,25/12/2029,,TRUE,Dela prost dan,,Private
dan samostojnosti in enotnosti,26/12/2029,,26/12/2029,,TRUE,Dela prost dan,,Private
novo leto,01/01/2030,,02/01/2030,,TRUE,Dela prost dan,,Private
"Prešernov dan, slovenski kulturni praznik",08/02/2030,,08/02/2030,,TRUE,Dela prost dan,,Private
velika noč,21/04/2030,,21/04/2030,,TRUE,Dela prost dan,,Private
velikonočni ponedeljek,22/04/2030,,22/04/2030,,TRUE,Dela prost dan,,Private
dan boja proti okupatorju,27/04/2030,,27/04/2030,,TRUE,Dela prost dan,,Private
praznik dela,01/05/2030,,02/05/2030,,TRUE,Dela prost dan,,Private
binkoštna nedelja,09/06/2030,,09/06/2030,,TRUE,Dela prost dan,,Private
dan Primoža Trubarja,08/06/2030,,08/06/2030,,TRUE,ne,,Private
dan državnosti,25/06/2030,,25/06/2030,,TRUE,Dela prost dan,,Private
Marijino vnebovzetje,15/08/2030,,15/08/2030,,TRUE,Dela prost dan,,Private
združitev prekmurskih Slovencev z matičnim narodom,17/08/2030,,17/08/2030,,TRUE,ne,,Private
vrnitev Primorske k matični domovini,15/09/2030,,15/09/2030,,TRUE,ne,,Private
dan suverenosti,25/10/2030,,25/10/2030,,TRUE,ne,,Private
dan reformacije,31/10/2030,,31/10/2030,,TRUE,Dela prost dan,,Private
dan spomina na mrtve,01/11/2030,,01/11/2030,,TRUE,Dela prost dan,,Private
dan Rudolfa Maistra,23/11/2030,,23/11/2030,,TRUE,ne,,Private
božič,25/12/2030,,25/12/2030,,TRUE,Dela prost dan,,Private
dan samostojnosti in enotnosti,26/12/2030,,26/12/2030,,TRUE,Dela prost dan,,Private
