_id,DATUM,IME_PRAZNIKA,DAN_V_TEDNU,DELA_PROST_DAN,DAN,MESEC,LETO
85,2005-06-25T00:00:00,dan državnosti,sobota,da,25,6,2005
86,2005-08-15T00:00:00,Marijino vnebovzetje,ponedeljek,da,15,8,2005
87,2005-10-31T00:00:00,dan reformacije,ponedeljek,da,31,10,2005
88,2005-01-11T00:00:00,dan spomina na mrtve,torek,da,1,11,2005
89,2005-11-23T00:00:00,dan Rudolfa Maistra,sreda,ne,23,11,2005
90,2005-12-25T00:00:00,božič,nedelja,da,25,12,2005
91,2005-12-26T00:00:00,dan samostojnosti in enotnosti,ponedeljek,da,26,12,2005
92,2006-01-01T00:00:00,novo leto,nedelja,da,1,1,2006
93,2006-02-01T00:00:00,novo leto,ponedeljek,da,2,1,2006
94,2006-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",sreda,da,8,2,2006
95,2006-04-16T00:00:00,velika noč,nedelja,da,16,4,2006
96,2006-04-17T00:00:00,velikonočni ponedeljek,ponedeljek,da,17,4,2006
97,2006-04-27T00:00:00,dan boja proti okupatorju ,četrtek,da,27,4,2006
98,2006-01-05T00:00:00,praznik dela,ponedeljek,da,1,5,2006
99,2006-02-05T00:00:00,praznik dela,torek,da,2,5,2006
100,2006-04-06T00:00:00,binkoštna nedelja,nedelja,da,4,6,2006
101,2006-06-25T00:00:00,dan državnosti,nedelja,da,25,6,2006
102,2006-08-15T00:00:00,Marijino vnebovzetje,torek,da,15,8,2006
103,2006-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,četrtek,ne ,17,8,2006
104,2006-09-15T00:00:00,vrnitev Primorske k matični domovini,petek,ne,15,9,2006
105,2006-10-31T00:00:00,dan reformacije,torek,da,31,10,2006
106,2006-01-11T00:00:00,dan spomina na mrtve,sreda,da,1,11,2006
107,2006-11-23T00:00:00,dan Rudolfa Maistra,četrtek,ne,23,11,2006
108,2006-12-25T00:00:00,božič,ponedeljek,da,25,12,2006
109,2006-12-26T00:00:00,dan samostojnosti in enotnosti,torek,da,26,12,2006
110,2007-01-01T00:00:00,novo leto,ponedeljek,da,1,1,2007
111,2007-02-01T00:00:00,novo leto,torek,da,2,1,2007
112,2007-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",četrtek,da,8,2,2007
113,2007-08-04T00:00:00,velika noč,nedelja,da,8,4,2007
114,2007-09-04T00:00:00,velikonočni ponedeljek,ponedeljek,da,9,4,2007
115,2007-04-27T00:00:00,dan boja proti okupatorju ,petek,da,27,4,2007
116,2007-01-05T00:00:00,praznik dela,torek,da,1,5,2007
117,2007-02-05T00:00:00,praznik dela,sreda,da,2,5,2007
118,2007-05-27T00:00:00,binkoštna nedelja,nedelja,da,27,5,2007
119,2007-06-25T00:00:00,dan državnosti,ponedeljek,da,25,6,2007
120,2007-08-15T00:00:00,Marijino vnebovzetje,sreda,da,15,8,2007
121,2007-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,petek,ne ,17,8,2007
122,2007-09-15T00:00:00,vrnitev Primorske k matični domovini,sobota,ne,15,9,2007
123,2007-10-31T00:00:00,dan reformacije,sreda,da,31,10,2007
124,2007-01-11T00:00:00,dan spomina na mrtve,četrtek,da,1,11,2007
125,2007-11-23T00:00:00,dan Rudolfa Maistra,petek,ne,23,11,2007
126,2007-12-25T00:00:00,božič,torek,da,25,12,2007
127,2007-12-26T00:00:00,dan samostojnosti in enotnosti,sreda,da,26,12,2007
128,2008-01-01T00:00:00,novo leto,torek,da,1,1,2008
129,2008-02-01T00:00:00,novo leto,sreda,da,2,1,2008
130,2008-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",petek,da,8,2,2008
131,2008-03-23T00:00:00,velika noč,nedelja,da,23,3,2008
132,2008-03-24T00:00:00,velikonočni ponedeljek,ponedeljek,da,24,3,2008
133,2008-04-27T00:00:00,dan boja proti okupatorju ,nedelja,da,27,4,2008
134,2008-01-05T00:00:00,praznik dela,četrtek,da,1,5,2008
135,2008-02-05T00:00:00,praznik dela,petek,da,2,5,2008
136,2008-11-05T00:00:00,binkoštna nedelja,nedelja,da,11,5,2008
137,2008-06-25T00:00:00,dan državnosti,sreda,da,25,6,2008
138,2008-08-15T00:00:00,Marijino vnebovzetje,petek,da,15,8,2008
139,2008-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,nedelja,ne ,17,8,2008
140,2008-09-15T00:00:00,vrnitev Primorske k matični domovini,ponedeljek,ne,15,9,2008
141,2008-10-31T00:00:00,dan reformacije,petek,da,31,10,2008
142,2008-01-11T00:00:00,dan spomina na mrtve,sobota,da,1,11,2008
143,2008-11-23T00:00:00,dan Rudolfa Maistra,nedelja,ne,23,11,2008
144,2008-12-25T00:00:00,božič,četrtek,da,25,12,2008
145,2008-12-26T00:00:00,dan samostojnosti in enotnosti,petek,da,26,12,2008
146,2009-01-01T00:00:00,novo leto,četrtek,da,1,1,2009
147,2009-02-01T00:00:00,novo leto,petek,da,2,1,2009
148,2009-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",nedelja,da,8,2,2009
149,2009-12-04T00:00:00,velika noč,nedelja,da,12,4,2009
150,2009-04-13T00:00:00,velikonočni ponedeljek,ponedeljek,da,13,4,2009
151,2009-04-27T00:00:00,dan boja proti okupatorju ,ponedeljek,da,27,4,2009
152,2009-01-05T00:00:00,praznik dela,petek,da,1,5,2009
153,2009-02-05T00:00:00,praznik dela,sobota,da,2,5,2009
154,2009-05-31T00:00:00,binkoštna nedelja,nedelja,da,31,5,2009
155,2009-06-25T00:00:00,dan državnosti,četrtek,da,25,6,2009
156,2009-08-15T00:00:00,Marijino vnebovzetje,sobota,da,15,8,2009
157,2009-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,ponedeljek,ne ,17,8,2009
158,2009-09-15T00:00:00,vrnitev Primorske k matični domovini,torek,ne,15,9,2009
159,2009-10-31T00:00:00,dan reformacije,sobota,da,31,10,2009
160,2009-01-11T00:00:00,dan spomina na mrtve,nedelja,da,1,11,2009
161,2009-11-23T00:00:00,dan Rudolfa Maistra,ponedeljek,ne,23,11,2009
162,2009-12-25T00:00:00,božič,petek,da,25,12,2009
163,2009-12-26T00:00:00,dan samostojnosti in enotnosti,sobota,da,26,12,2009
164,2010-01-01T00:00:00,novo leto,petek,da,1,1,2010
165,2010-02-01T00:00:00,novo leto,sobota,da,2,1,2010
166,2010-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",ponedeljek,da,8,2,2010
167,2010-04-04T00:00:00,velika noč,nedelja,da,4,4,2010
168,2010-05-04T00:00:00,velikonočni ponedeljek,ponedeljek,da,5,4,2010
169,2010-04-27T00:00:00,dan boja proti okupatorju ,torek,da,27,4,2010
170,2010-01-05T00:00:00,praznik dela,sobota,da,1,5,2010
171,2010-02-05T00:00:00,praznik dela,nedelja,da,2,5,2010
172,2010-05-23T00:00:00,binkoštna nedelja,nedelja,da,23,5,2010
173,2010-06-25T00:00:00,dan državnosti,petek,da,25,6,2010
174,2010-08-15T00:00:00,Marijino vnebovzetje,nedelja,da,15,8,2010
175,2010-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,torek,ne ,17,8,2010
176,2010-09-15T00:00:00,vrnitev Primorske k matični domovini,sreda,ne,15,9,2010
177,2010-10-31T00:00:00,dan reformacije,nedelja,da,31,10,2010
178,2010-01-11T00:00:00,dan spomina na mrtve,ponedeljek,da,1,11,2010
179,2010-11-23T00:00:00,dan Rudolfa Maistra,torek,ne,23,11,2010
180,2010-12-25T00:00:00,božič,sobota,da,25,12,2010
181,2010-12-26T00:00:00,dan samostojnosti in enotnosti,nedelja,da,26,12,2010
182,2011-01-01T00:00:00,novo leto,sobota,da,1,1,2011
183,2011-02-01T00:00:00,novo leto,nedelja,da,2,1,2011
184,2011-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",torek,da,8,2,2011
185,2011-04-24T00:00:00,velika noč,nedelja,da,24,4,2011
186,2011-04-25T00:00:00,velikonočni ponedeljek,ponedeljek,da,25,4,2011
187,2011-04-27T00:00:00,dan boja proti okupatorju ,sreda,da,27,4,2011
188,2011-01-05T00:00:00,praznik dela,nedelja,da,1,5,2011
189,2011-02-05T00:00:00,praznik dela,ponedeljek,da,2,5,2011
190,2011-12-06T00:00:00,binkoštna nedelja,nedelja,da,12,6,2011
191,2011-08-06T00:00:00,dan Primoža Trubarja,sreda,ne,8,6,2011
192,2011-06-25T00:00:00,dan državnosti,sobota,da,25,6,2011
193,2011-08-15T00:00:00,Marijino vnebovzetje,ponedeljek,da,15,8,2011
194,2011-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,sreda,ne ,17,8,2011
